group,time,at_risk,events,censored,survival,lower_95,upper_95
Enhanced outreach,0.0,20,0,0,1.0,1.0,1.0
Enhanced outreach,8.0,20,1,0,0.95,0.6947,0.9928
Enhanced outreach,12.0,19,0,1,0.95,0.6947,0.9928
Enhanced outreach,15.0,18,1,0,0.8972,0.6475,0.9733
Enhanced outreach,18.0,17,0,1,0.8972,0.6475,0.9733
Enhanced outreach,21.0,16,1,0,0.8411,0.5833,0.946
Enhanced outreach,24.0,15,0,1,0.8411,0.5833,0.946
Enhanced outreach,28.0,14,1,0,0.7811,0.5145,0.9122
Enhanced outreach,32.0,13,0,1,0.7811,0.5145,0.9122
Enhanced outreach,36.0,12,1,0,0.716,0.4424,0.8721
Enhanced outreach,40.0,11,0,1,0.716,0.4424,0.8721
Enhanced outreach,45.0,10,0,1,0.716,0.4424,0.8721
Enhanced outreach,50.0,9,1,0,0.6364,0.3531,0.8219
Enhanced outreach,55.0,8,0,1,0.6364,0.3531,0.8219
Enhanced outreach,60.0,7,0,1,0.6364,0.3531,0.8219
Enhanced outreach,65.0,6,1,0,0.5304,0.237,0.7562
Enhanced outreach,70.0,5,0,1,0.5304,0.237,0.7562
Enhanced outreach,75.0,4,0,1,0.5304,0.237,0.7562
Enhanced outreach,80.0,3,1,0,0.3536,0.074,0.6602
Enhanced outreach,85.0,2,0,1,0.3536,0.074,0.6602
Enhanced outreach,90.0,1,0,1,0.3536,0.074,0.6602
Standard outreach,0.0,20,0,0,1.0,1.0,1.0
Standard outreach,5.0,20,1,0,0.95,0.6947,0.9928
Standard outreach,8.0,19,1,0,0.9,0.656,0.974
Standard outreach,10.0,18,0,1,0.9,0.656,0.974
Standard outreach,12.0,17,1,0,0.8471,0.5968,0.948
Standard outreach,15.0,16,1,0,0.7941,0.5397,0.9174
Standard outreach,18.0,15,0,1,0.7941,0.5397,0.9174
Standard outreach,20.0,14,1,0,0.7374,0.4782,0.8818
Standard outreach,24.0,13,1,0,0.6807,0.421,0.8428
Standard outreach,28.0,12,0,1,0.6807,0.421,0.8428
Standard outreach,30.0,11,1,0,0.6188,0.3593,0.7985
Standard outreach,35.0,10,1,0,0.5569,0.3025,0.7508
Standard outreach,40.0,9,0,1,0.5569,0.3025,0.7508
Standard outreach,45.0,8,1,0,0.4873,0.2398,0.6963
Standard outreach,50.0,7,0,1,0.4873,0.2398,0.6963
Standard outreach,55.0,6,1,0,0.4061,0.1699,0.6324
Standard outreach,60.0,5,0,1,0.4061,0.1699,0.6324
Standard outreach,65.0,4,1,0,0.3046,0.0914,0.5539
Standard outreach,70.0,3,0,1,0.3046,0.0914,0.5539
Standard outreach,80.0,2,1,0,0.1523,0.0118,0.4505
Standard outreach,90.0,1,0,1,0.1523,0.0118,0.4505
