week,count,z_score,signal,status,baseline_mean,upper_threshold
1,8,,,insufficient_baseline,,
2,9,,,insufficient_baseline,,
3,7,,,insufficient_baseline,,
4,10,,,insufficient_baseline,,
5,9,0.387,False,evaluated,8.5,11.727486121839513
6,11,1.788,False,evaluated,8.75,11.895764348029479
7,8,-0.732,False,evaluated,9.25,13.519562819149833
8,10,0.387,False,evaluated,9.5,12.727486121839513
9,12,1.936,False,evaluated,9.5,12.727486121839513
10,13,1.61,False,evaluated,10.25,14.519562819149833
11,29,8.231,True,evaluated,10.75,16.293389456520863
12,18,0.228,False,evaluated,16,37.88987589427283
